DATE;DAY;MOD;WEAK;DUTY;A:GYM;A:SLEEPTIME;Z:STROLL;Z:SLEEPTIME;Z:TEETH;Z:TELE;F:VACUUM;F:KITCHEN;E:HYGIENE;E:PY;E:VIM;E:PLAN;E:SLEEPTIME;E:DIET;E:MEALS;L:TEETH;L:SLEEPTIME;L:DIET;L:MEALS;L:ALARM;;;;;
1.12;4;KG;1;24;;0,30;;23,00;T;;;T;T;;;T;22,44;T;3;T;;T;2;;;;;;
2.12;5;KG;1;;T;22,46;;23,00;T;T;;T;T;;;T;0,00;;3;;0,00;;;;;;;;
3.12;6;;1;;T;22,26;1;21,48;T;T;4;T;T;;;T;22,50;T;3;T;;T;2;;;;;;
4.12;7;;1;24;;23,20;2;22,40;;;;T;T;T;T;T;0,40;T;4;T;;T;1;;;;;;
5.12;1;KGD;1;;;22,45;1;22,20;T;;;T;T;;;T;0,00;;3;T;0,20;;;;;;;;
6.12;2;KGD;1;;;21,48;;22,40;T;;3;T;T;;;;0,00;T;1;T;0,00;T;;;;;;;
7.12;3;KGD;1;24;T;22,00;;23,30;T;;;T;T;T;T;T;22,30;T;3;T;0,30;T;2;;;;;;
8.12;4;KGD;1;;;22,42;;22,18;;;5;T;T;;;T;0,13;;2;T;0,13;;;;;;;;
9.12;5;KGD;1;;;00,00;2;23,30;T;;1;T;T;;;;0,30;T;3;T;0,30;T;2;;;;;;
10.12;6;;;24;;22,00;;00,00;;;;;T;T;T;T;22,30;T;3;T;2,00;T;2;;;;;;
11.12;7;;;;;22,30;;21,10;T;;1;T;T;T;T;;23,10;T;2;T;23,00;T;2;;;;;;
12.12;1;KG;1;;T;23,30;;22,20;T;T;1;T;T;;;T;1,15;;2;T;1,15;;2;;;;;;
13.12;2;KG;1;;;00,00;;22,10;T;T;;T;T;;;;0,20;T;2;T;0,00;T;1;2;;;;;
14.12;3;KG;1;24;;00,00;1;23,15;;;;T;T;T;T;T;0,10;T;4;T;1,30;T;3;;;;;;
15.12;4;KG;1;;;22,27;;22,17;T;T;;T;T;;;T;0,30;;2;;0,30;;;;;;;;
16.12;5;KG;1;;;22,24;;23,00;T;T;3.5;T;T;;;;23,30;T;1;T;;T;;;;;;;
17.12;6;;1;24;;22,10;;00,00;T;;;T;T;T;T;T;22,30;T;2;;1,30;T;1;;;;;;
18.12;7;;;;;22,33;1;22,00;T;T;;T;T;;;T;0,00;T;2;;;T;2;;;;;;
19.12;1;KG;;24;;;;22,40;T;;;T;T;T;T;T;23,40;;4;;;;;;;;;;
20.12;2;KG;;;;2,00;;22,40;T;T;;T;T;T;T;;23,40;;;T;2,00;T;;;;;;;
21.12;3;KG;;;;22,23;;22,20;T;;5;T;;T;T;T;22,50;T;1;T;22,45;;1;;;;;;
22.12;4;KG;;;;22,30;1;21,50;T;T;;T;T;T;T;;23,30;;;T;23,10;T;;;;;;;
23.12;5;KG;;24;;23,00;;23,45;T;;;T;T;;;T;23,00;T;3;;1,50;;;;;;;;
24.12;6;;;;;23,15;1;22,16;;T;1;T;;;;;0,50;;1;T;0,40;;2;;;;;;
25.12;7;;;;;00,00;1;22,10;T;T;1;;T;T;T;;0,10;T;3;T;0,30;T;1;;;;;;
26.12;1;KG;;24;;;;;;;;;T;T;T;T;23,00;T;2;T;;T;;;;;;;
27.12;2;KG;;;;23,40;1;21,50;T;T;;T;T;T;T;T;23,50;T;1;;0,00;T;2;;;;;;
28.12;3;KG;;;;0,00;2;21,38;T;T;5;T;T;T;T;;0,00;;;T;0,00;;;;;;;;
29.12;4;KG;;;;22,20;;22,15;T;T;;T;;;;;23,40;T;;T;23,00;;;;;;;;
30.12;5;KG;;24;;00,00;;23,00;;;;;T;T;T;T;23,00;T;2;T;00,15;T;1;;;;;;
31.12;6;;;;;23,35;;22,18;T;T;;T;;;;T;00,30;;1;T;1,00;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
