category;duty_24;duty_False;True;False;duty_8;WEAK1;WEAK2;KG;KGD;M
A:GYM;100;0;50;0;0,75;1,25;1,5;0,5;0,75;1
A:SLEEPTIME;<.22: 3*, <.23: 2*, >=.23: 0;0;<.22: 2*, <.23: 1*, >=.23: 0;-50;0,75;1,25;1,5;0,5;0,75;1
Z:STROLL;100;0;50*;0;0,75;1,25;1,5;0,5;0,75;1
Z:SLEEPTIME;<.22: 3*, <.23: 2*, >=.23: 0;0;<.22: 2*, <.23: 1*, >=.23: -1*;-50;0,75;1,25;1,5;0,5;0,75;1
Z:TEETH;50;0;50;-50;0,75;1,25;1,5;1;1;1
Z:TELE;300;0;50;-50;0,75;1,25;1,5;0,5;0,75;1
F:VACUUM;40*;0;20*;0;1,25;1,25;1,5;0,5;0,75;1
F:KITCHEN;100;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:HYGIENE;25;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:PY;25;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:VIM;25;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:PLAN;25;0;50;0;1,5;1,25;1,5;0,5;0,75;1
E:SLEEPTIME;<.23: 1*, >=.23: 0;-50;<.23: 1*, >=.23: 0, >=.0: -1*;-50;1,5;1,25;1,5;0,5;0,75;1
E:DIET;0;-50;50;0;1,5;1,25;1,5;0,5;0,75;1
E:MEALS;10*;0;20*;0;1;1,25;1,5;1;1;1
L:TEETH;50;0;50;-50;0,75;1,25;1,5;0,5;0,75;1
L:SLEEPTIME;<.23: 3*, >=.23: 0;0;<.23: 1*, >=.23: 0, >=.0: -1*;-50;0,75;1,25;1,5;0,5;0,75;1
L:DIET;100;0;50;0;0,75;1,25;1,5;0,5;0,75;1
L:MEALS;30*;0;20*;0;0,75;1,25;1,5;1;1;1,5
L:ALARM;20*;0;10*;0;0,75;1,25;1,5;0,5;0,75;1
