category;duty_24;duty_8;duty_False;True;False;func;WEAK1;WEAK2;KG;KGD;M
A: gym;50;37,5;0;25;0;;1.25;1.5;0.5;0.75;1
A: bad;50;37,5;0;25;0;;1.25;1.5;0.5;0.75;1
F: stroll mod;"1, 50; 2, 100";"1, 37; 2, 75";0;50;-50;comp;1.25;1.5;0.5;0.75;1
Z: velo;50;37,5;0;50;0;;1.25;1.5;0.5;0.75;1
Z: sleep;">0, 50; >1, 100";">0, 37; >1, 75";0;>1, 50;-50;comp;1.25;1.5;0.5;0.75;1
Z: teeth;50;50;0;50;-50;;1.25;1.5;0.5;0.75;1
Z: tele;300;225;0;50;-50;;1.25;1.5;0.5;0.75;0,5
F: wash;50;37,5;0;0;-50;;1.25;1.5;0.5;0.75;1
F: no pleasure;100;100;0;100;0;;1.25;1.5;0.5;0.75;1
E: hygine;0;0;-50;50;0;;1.25;1.5;0.5;0.75;0
E: py;50;50;-50;50;0;;1.25;1.5;0.5;0.75;0
E: vim;50;50;-50;50;0;;1.25;1.5;0.5;0.75;0
E: plan;100;100;0;100;0;;1.25;1.5;0.5;0.75;0
E: diet;0;0;-50;50;0;;1.25;1.5;0.5;0.75;0
E: meals;10*num;10*num;0;10*num;0;num;1.25;1.5;1;1;1
L: teeth;50;50;0;50;-50;;1.25;1.5;0.5;0.75;1
L: diet;50;50;0;50;-50;;1.25;1.5;0.5;0.75;1
L: meals;30*num;30*num;0;20*num;0;num;1.25;1.5;1;1;1.5
