date;DAY;mod;weak;duty;A: gym;A: bad;stroll mod;Z: velo;Z: sleep;Z: teeth;Z: not tele;F: wash;F: no pleasure;E: hygiene;E: py;E: vim;E: plan;E: diet;E: meals;L: teeth;L: diet;L: meals
01.09.2022;4;KG;;24;;T;;;1;T;;T;;T;T;T;T;;3;T;T;1
02.09.2022;5;KG;;;;;1;1;1;T;;T;;T;T;T;T;;2;;T;1
03.09.2022;6;H;;;;;1;1;1;T;;T;T;T;;;T;T;4;;T;1
04.09.2022;7;H;1;24;;;;;0;T;;T;T;;T;;;;3;;;
05.09.2022;1;KG;1;;;T;1;;1;T;T;T;;T;;;T;;1;;T;
06.09.2022;2;KG;1;;;T;1;1;1;T;T;T;;T;;T;;;1;T;;
07.09.2022;3;KG;1;;;T;1;1;1;T;T;T;T;T;;;;;2;;;
08.09.2022;4;KG;1;;;T;1;;1;T;;T;;T;;;T;T;2;T;;
09.09.2022;5;H;2;;;T;1;;1;;;;;T;T;T;T;;1;;T;2
10.09.2022;6;H;2;;;T;1;1;1;T;T;T;;T;T;T;T;;1;;T;
11.09.2022;7;M;2;24;;T;1;;1;;T;;;T;T;;T;;1;;T;1
12.09.2022;1;M;2;24;;T;1;;1;T;T;;;T;T;T;T;;1;;T;1
13.09.2022;2;H;2;;;T;1;1;1;T;T;T;;T;;;T;;1;;;
14.09.2022;3;H;2;;;T;1;1;1;;T;T;T;;T;;;T;4;T;;1
15.09.2022;4;M;2;24;;T;1;;1;;T;;T;T;T;T;T;T;3;T;T;2
16.09.2022;5;M;2;24;;T;1;;1;T;;;T;T;T;;T;T;3;;;1
17.09.2022;6;H;1;;;T;;;1;;T;T;;T;;T;T;;3;;;
18.09.2022;7;H;;;;T;1;1;1;;;T;T;T;;;;;1;;T;1
19.09.2022;1;KG;;8;;T;1;1;1;T;;T;;T;;;;;1;T;;1
20.09.2022;2;KG;;;;;1;;1;T;;;T;T;;;T;T;1;;;
21.09.2022;3;KG;;24;;T;2;;0;T;;T;T;T;;;T;;1;T;T;2
22.09.2022;4;KG;;8;;;1;1;1;T;T;;;;;;;;;T;;
23.09.2022;5;KG;;8;;T;1;1;1;;T;;;T;;;;;1;;;1
24.09.2022;6;H;;;;T;;;0;;;T;;T;;;;T;2;T;T;
25.09.2022;7;H;1;24;;T;;;1;;;T;T;T;T;T;;;3;T;;
26.09.2022;1;KGD;1;8;;;1;1;1;T;T;T;;;;;;;2;T;;
27.09.2022;2;KGD;1;;;T;2;;1;T;T;T;T;T;;;T;T;2;;T;
28.09.2022;3;H;1;24;;;;;1;;;T;;T;T;T;;T;2;T;T;
29.09.2022;4;H;1;;;T;;;1;;T;T;T;T;;;T;T;3;;T;
30.09.2022;5;H;1;;;T;;;1;;T;T;;T;;;;;2;T;;2
